instance_id;figure_id;image_file;dynamic_prompt;answer_options;figure_type;qa_pair_type;caption;question;gold;prediction;rouge1_fmeasure;rougeL_fmeasure;bertscore_f1
9f9f0fc2cfdd967839bd3521e8157da7;2007.07860v1-Figure4-1;2007.07860v1-Figure4-1.png;"You are looking at a line chart with 2 subfigures.
The caption is: 'Figure 4: Crowdflower-Gender Evaluation 1. Fraction of non-brand posts by male user accounts in summaries generated by standard summarization algorithms (a) and our framework (b).'.
Question: Which summarization algorithm is associated with the line labeled 'Centroid-Word2Vec-balanced'?
[Data-only cue] Focus your response more on numeric or textual values.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Respond with a concise, one-word or very short phrase. No full sentences, no explanations.
If the response is numeric, use digits only and include any units or suffixes (e.g., %, kg, $).
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Ensure the answer is either Yes or No as required
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";[];line chart;closed-ended infinite answer set non-visual;Figure 4: Crowdflower-Gender Evaluation 1. Fraction of non-brand posts by male user accounts in summaries generated by standard summarization algorithms (a) and our framework (b).;Which summarization algorithm is associated with the line labeled 'Centroid-Word2Vec-balanced'?;Our framework;Centroid-Word2Vec-balanced;0.0;0.0;0.807155430316925
1b1171ec39c8d7fe459d233e1bd0f859;W12-4701.pdf-Figure6;W12-4701.pdf-Figure6.png;"You are looking at a tree.
The caption is: 'Figure 6: Purvakalkatvam'.
Question: What is the meaning of 'pūrvakālikatvam' in this context, and how does it differ from other types of precedence in this diagram?
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Ensure the answer is either Yes or No as required
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";[];tree;unanswerable;Figure 6: Purvakalkatvam;What is the meaning of 'pūrvakālikatvam' in this context, and how does it differ from other types of precedence in this diagram?;It is not possible to answer this question based only on the provided data.;In this context, 'pūrvakālikatvam' means precedence. It shows that 'gācchati' (goes) happens after 'pīṭvā' (sitting). This differs from other types of precedence because it specifically indicates the sequence of actions where one event must occur before another.;0.1090909090909091;0.1090909090909091;0.8077276349067688
5bb1d1f5617dff857e173fe535984223;2020.acl-main.78.pdf-Figure1;2020.acl-main.78.pdf-Figure1.png;"You are looking at a neural networks.
The caption is: 'Figure 1: The framework of the proposed SemiORC. denotes the matrix multiplication. In the training process, the predicted labels yi and observed labels yi are used to compute the classification loss for labeled data.'.
Question: Is there only a single starting point in the network with no earlier stages (preceding states)?
[Data-only cue] Focus your response more on numeric or textual values.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Please answer with 'Yes' or 'No' only.
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Ensure the answer is either Yes or No as required
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";[];neural networks;closed-ended finite answer set binary non-visual;Figure 1: The framework of the proposed SemiORC. denotes the matrix multiplication. In the training process, the predicted labels yi and observed labels yi are used to compute the classification loss for labeled data.;Is there only a single starting point in the network with no earlier stages (preceding states)?;No;<thinking> Step 1: The figure shows a neural network with multiple components including LSTM, Bi-LSTM, and Classifier. Step 2: The input is fed into the Bi-LSTM layers, which suggests that the input is the starting point. Step 3: The caption mentions matrix multiplication and the use of predicted and observed labels, but does not specify the presence of earlier stages. Step 4: The network appears to have a clear starting point with the input being processed by the Bi-LSTM layers. Step 5: Based on the visual and caption information, there is a single starting point with the input.. Answer:;0.0;0.0;0.8123617172241211
400feb7330cf28b1b160c5bca99e82ed;1608.00929v1-Figure2-1;1608.00929v1-Figure2-1.png;"You are looking at a line chart with 2 subfigures.
The caption is: 'Figure 2: Left: Densities versus oracle error rates of lattices generated by different pruning methods.Right: Time spent on generating the lattices with different pruning methods.'.
Question: What is the value of the lattice density when the oracle error rate of the blue line is at its minimum?
[Visual cue] Pay attention to color, position, shape, size, height, or direction.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Respond with a concise, one-word or very short phrase. No full sentences, no explanations.
If the response is numeric, use digits only and include any units or suffixes (e.g., %, kg, $).
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Ensure the answer is either Yes or No as required
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";[];line chart;closed-ended infinite answer set visual;Figure 2: Left: Densities versus oracle error rates of lattices generated by different pruning methods.Right: Time spent on generating the lattices with different pruning methods.;What is the value of the lattice density when the oracle error rate of the blue line is at its minimum?;400 - 800;It is not possible to answer this question based only on the provided data.;0.0;0.0;0.8161489367485046
c4a67903f76ebc0b4fb01f20793093c2;1805.00471v1-Figure3-1;1805.00471v1-Figure3-1.png;"You are looking at a line chart.
The caption is: 'Figure 3. For the Arkansas dataset, the average topic distance between the “training” half and “validation” half the black interviewer dataset (the “baseline”) compared to the average topic distance between the “training” half of the black interviewer dataset and the white interviewer dataset (the “dist”).'.
Question: What is the maximum number of topics?
[Data-only cue] Focus your response more on numeric or textual values.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Respond with a concise, one-word or very short phrase. No full sentences, no explanations.
If the response is numeric, use digits only and include any units or suffixes (e.g., %, kg, $).
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Ensure the answer is either Yes or No as required
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";[];line chart;closed-ended infinite answer set non-visual;Figure 3. For the Arkansas dataset, the average topic distance between the “training” half and “validation” half the black interviewer dataset (the “baseline”) compared to the average topic distance between the “training” half of the black interviewer dataset and the white interviewer dataset (the “dist”).;What is the maximum number of topics?;100;It is not possible to answer this question based only on the provided data.;0.0;0.0;0.8164634704589844
a793b91164b30d61877269e565ba6c48;2020.acl-main.343.pdf-Figure4;2020.acl-main.343.pdf-Figure4.png;"You are looking at a scatter plot with 6 subfigures.
The caption is: 'Figure 4: Visualization in Unimodal Representations. In each subfigure, red, green, and blue points represent the unimodal representations in text, audio, and video, respectively. The first row shows the learned representations from models with the multimodal task only. The second row shows the learned representations from multi-task models. The two subgraphs in the same column contrast each other'.
Question: Which model has a plot with the lowest maximum value marked on its x axis
[Data-only cue] Focus your response more on numeric or textual values.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Available options: {'A': 'MLF-DNN', 'B': 'MTFN', 'C': 'MLMF', 'D': 'They are all equal.'}.
Respond only with the corresponding option keyword(s) (e.g., 'A' or 'A,B' if multiple apply, without space between).
Do not include explanations, full sentences, or option text.
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Evaluate the provided answer choices and select the best one
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";"[{""A"": ""MLF-DNN"", ""B"": null, ""C"": null, ""D"": null}, {""A"": null, ""B"": ""MTFN"", ""C"": null, ""D"": null}, {""A"": null, ""B"": null, ""C"": ""MLMF"", ""D"": null}, {""A"": null, ""B"": null, ""C"": null, ""D"": ""They are all equal.""}]";scatter plot;closed-ended finite answer set non-binary non-visual;Figure 4: Visualization in Unimodal Representations. In each subfigure, red, green, and blue points represent the unimodal representations in text, audio, and video, respectively. The first row shows the learned representations from models with the multimodal task only. The second row shows the learned representations from multi-task models. The two subgraphs in the same column contrast each other;Which model has a plot with the lowest maximum value marked on its x axis;C;It is not possible to answer this question based only on the provided data.;0.0;0.0;0.818534791469574
413e41dfa10a6dd874630b2f4ad13c8d;2010.06595v1-Figure4-1;2010.06595v1-Figure4-1.png;"You are looking at a line chart.
The caption is: 'Figure 4: Power analysis for MT, showing how power increases with n and ∆B , using an average of fitted values for P0 and b0. Based on this analysis, we expect that an experiment with a test set of 2000 sentences would have approximately 75% power to detect a difference of 1 BLEU point as significant. For additional plots, refer to Figure 17 in Appendix G.'.
Question: Is the power greater than 0.75 for all differences in BLEU when the sample size is 4000?
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Ensure the answer is either Yes or No as required
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";[];line chart;unanswerable;Figure 4: Power analysis for MT, showing how power increases with n and ∆B , using an average of fitted values for P0 and b0. Based on this analysis, we expect that an experiment with a test set of 2000 sentences would have approximately 75% power to detect a difference of 1 BLEU point as significant. For additional plots, refer to Figure 17 in Appendix G.;Is the power greater than 0.75 for all differences in BLEU when the sample size is 4000?;It is not possible to answer this question based only on the provided data.;The caption states that an experiment with a test set of 2000 sentences would have about 75% power to detect a difference of 1 BLEU point as significant. The line chart shows that as the sample size increases, the power also increases. At a sample size of 4000, the power for differences of 2.0, 3.0, 4.0, and 5.0 BLEU points is above 0.75. However, for a difference of 1.0 BLEU point, the power is slightly below 0.75 at 4;0.06;0.04;0.8223840594291687
68ff5a73c1e06568eb4c7277364c37d2;1907.00488v1-Figure4.7-1;1907.00488v1-Figure4.7-1.png;"You are looking at a line chart with 2 subfigures.
The caption is: 'Figure 4.7: Two-epoch model likelihoods. Fisher maximum-likelihood estimation for a 2-epoch BEE model over the text-to-text and text-to-past k = 80 models of 647 of Darwin’s readings. The darker line indicates the window of the 5-year minimum epoch length. Note the phase transition at the 325th volume in the text-to-past case (bottom) and the 548th volume in the text-to-text case (top). Note also that the text-topast case comes close to transition at the 548th volume as well, indicating the strength of the transition to exploration in the third epoch on both local and global scales.'.
Question: How many datapoints were used to draw the curves in figure 4.7?
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Ensure the answer is either Yes or No as required
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";[];line chart;unanswerable;Figure 4.7: Two-epoch model likelihoods. Fisher maximum-likelihood estimation for a 2-epoch BEE model over the text-to-text and text-to-past k = 80 models of 647 of Darwin’s readings. The darker line indicates the window of the 5-year minimum epoch length. Note the phase transition at the 325th volume in the text-to-past case (bottom) and the 548th volume in the text-to-text case (top). Note also that the text-topast case comes close to transition at the 548th volume as well, indicating the strength of the transition to exploration in the third epoch on both local and global scales.;How many datapoints were used to draw the curves in figure 4.7?;It is not possible to answer this question based only on the provided data.;The caption states that the Fisher maximum-likelihood estimation was performed over 647 of Darwin's readings. This indicates that there are 647 data points used to draw the curves in figure 4.7.;0.1666666666666666;0.0833333333333333;0.8511996269226074
f864eff69d4d3ee270b91460c8dd0a94;2020.acl-main.170.pdf-Figure7;2020.acl-main.170.pdf-Figure7.png;"You are looking at a scatter plot with 2 subfigures.
The caption is: 'Figure 7: Visualization of source embeddings. Models trained on WMT14 En-Fr (4m).'.
Question: Which model is represented in the graph (a)?
[Data-only cue] Focus your response more on numeric or textual values.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Respond with a concise, one-word or very short phrase. No full sentences, no explanations.
If the response is numeric, use digits only and include any units or suffixes (e.g., %, kg, $).
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Ensure the answer is either Yes or No as required
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";[];scatter plot;closed-ended infinite answer set non-visual;Figure 7: Visualization of source embeddings. Models trained on WMT14 En-Fr (4m).;Which model is represented in the graph (a)?;BPE;RPF;0.0;0.0;0.8846979737281799
624694491ef57d9e5f2b134b9dafec78;1904.03670v2-Figure3-1;1904.03670v2-Figure3-1.png;"You are looking at a line chart with 2 subfigures.
The caption is: 'Figure 3: Accuracy on the validation set over time for models trained on (a) the full SLU dataset or (b) 10% of the dataset.'.
Question: Do the lines in the right graph ever reach higher than the maximum height of the lines on the left graph?
[Visual cue] Pay attention to color, position, shape, size, height, or direction.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Please answer with 'Yes' or 'No' only.
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Ensure the answer is either Yes or No as required
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";[];line chart;closed-ended finite answer set binary visual;Figure 3: Accuracy on the validation set over time for models trained on (a) the full SLU dataset or (b) 10% of the dataset.;Do the lines in the right graph ever reach higher than the maximum height of the lines on the left graph?;No;Yes.;0.0;0.0;0.9438908696174622
0e66ca115b7a79de916a4d1419d1abc6;2002.12549v1-Figure1-1;2002.12549v1-Figure1-1.png;"You are looking at a line chart with 2 subfigures.
The caption is: 'Figure 1: The UNMT and SNMT performance as the word noise (a value) and word order noise (b value) increases on the noisy En-Fr newstest2014 set.'.
Question: Is the orange dot higher than the blue dot at a = 0 in the left plot?
[Visual cue] Pay attention to color, position, shape, size, height, or direction.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Please answer with 'Yes' or 'No' only.
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Ensure the answer is either Yes or No as required
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";[];line chart;closed-ended finite answer set binary visual;Figure 1: The UNMT and SNMT performance as the word noise (a value) and word order noise (b value) increases on the noisy En-Fr newstest2014 set.;Is the orange dot higher than the blue dot at a = 0 in the left plot?;No;Yes.;0.0;0.0;0.9438908696174622
